FlexPDE Version 7.21/OSXm  12:20:20 Dec  9 2022
(Times listed are wall-clock times, not charged CPU).

START /Users/garretlanglois/Library/Mobile Documents/iCloud~md~obsidian/Documents/School/Year 2/Semester 2/ENGPHYS 2CM4/Lecture Code/Lec 2/V3 Rocket Optimization.pde  11:01:49 1/9/24
 +00:00:00| Mesh Generation Complete
 +00:00:00| Step 73 Time= 0.878046 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.24e-16 MAX ERR= 1.32e-16 TIME ERR= 0.001589 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 74 Time= 0.900559 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.25e-16 MAX ERR= 1.34e-16 TIME ERR= 0.001598 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 75 Time= 0.923073 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.22e-16 MAX ERR= 1.30e-16 TIME ERR= 0.001608 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 76 Time= 0.945587 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.18e-16 MAX ERR= 1.24e-16 TIME ERR= 0.001619 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 77 Time= 0.968100 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.14e-16 MAX ERR= 1.19e-16 TIME ERR= 0.001569 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 78 Time= 0.990614 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.12e-16 MAX ERR= 1.18e-16 TIME ERR= 0.001516 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 79 Time= 1.013128 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.15e-16 MAX ERR= 1.22e-16 TIME ERR= 0.001465 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 80 Time= 1.035642 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.19e-16 MAX ERR= 1.28e-16 TIME ERR= 0.001418 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 81 Time= 1.058155 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.21e-16 MAX ERR= 1.29e-16 TIME ERR= 0.001374 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 82 Time= 1.080669 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.30e-16 MAX ERR= 1.40e-16 TIME ERR= 0.001332 Lanczos/BInv=(13) MEM(KiB)=8026 
 +00:00:00| Step 83 Time= 1.103183 Dt= 0.022514 Nodes=4 Cells=2 DOF=16 RMS ERR= 1.29e-16 MAX ERR= 1.39e-16 TIME ERR= 0.001293 Lanczos/BInv=(13) MEM(KiB)=8026 
